DEPTH	SECONDS	TPC_OUT	IN	OUT	MEAN_I
3	1584000	99.995462	6324881	6324594	100
3	1612800	99.997033	6470925	6470733	100
3	1670400	99.996015	6700778	6700511	100
3	1699200	99.997173	6826172	6825979	100
3	1728000	99.997395	7024073	7023890	100
3	1756800	99.996205	7061986	7061718	100
3	1785600	99.997828	7183702	7183546	100
3	1814400	99.997533	7376819	7376637	100
3	1872000	99.996619	7542570	7542315	100
3	1900800	99.997114	7728111	7727888	100
3	1929600	99.996809	7772673	7772425	100
3	1958400	99.997376	7889630	7889423	100
3	1987200	99.997657	8067972	8067783	100
3	2016000	99.996943	8111959	8111711	100
3	2044800	99.997702	8225653	8225464	100
3	2073600	99.997459	8382208	8381995	100
3	2131200	99.997594	8563291	8563085	100
3	2160000	99.997592	8722381	8722171	100
3	2188800	99.996978	8769526	8769261	100
3	2217600	99.997655	8914219	8914010	100
3	2246400	99.997913	9103139	9102949	100
3	2275200	99.996938	9144597	9144317	100
3	2304000	99.998079	9264108	9263930	100
3	2332800	99.997673	9452205	9451985	100
3	2361600	99.997231	9496884	9496621	100
3	2390400	99.997681	9616379	9616156	100
3	2419200	99.998215	9804640	9804465	100
3	2448000	99.997726	9849262	9849038	100
3	2476800	99.998013	9964484	9964286	100
3	2505600	99.998284	10141053	10140879	100
3	2534400	99.997437	10184396	10184135	100
3	2563200	99.998134	10290953	10290761	100
3	2592000	99.998164	10458461	10458269	100
3	2620800	99.997772	10502085	10501851	100
3	2649600	99.997633	10605792	10605541	100
3	2678400	99.997516	10748194	10747927	100
3	2707200	99.997962	10792879	10792659	100
3	2736000	99.998452	10916015	10915846	100
3	2764800	99.998138	11063421	11063215	100
3	2793600	99.995966	11104347	11103899	100
3	2822400	99.998155	11216689	11216482	100
3	2851200	99.998269	11383842	11383645	100
3	2880000	99.997909	11427650	11427411	100
3	2908800	99.998518	11535964	11535793	100
3	2937600	99.998575	11720617	11720450	100
3	2966400	99.997408	11764985	11764680	100
3	2995200	99.998211	11847247	11847035	100
3	3024000	99.998106	11984166	11983939	100
3	3052800	99.995874	12022402	12021906	100
3	3081600	99.996401	12115196	12114760	100
3	3110400	99.997530	12265567	12265264	100
3	3139200	99.991915	12306590	12305595	100
3	3168000	99.988855	12400165	12398783	100
3	3196800	99.991784	12548374	12547343	100
3	3254400	99.985449	12679368	12677523	100
3	3283200	99.988399	12809306	12807820	100
3	3340800	99.978870	12967095	12964355	100
3	3369600	99.978694	13104027	13101235	100
3	3398400	99.972982	13146726	13143174	100
3	3427200	99.963304	13257648	13252783	100
3	3456000	99.959500	13414961	13409528	100
3	3484800	99.971795	13448176	13444383	100
3	3513600	99.991893	13532103	13531006	100
3	3542400	99.998376	13666815	13666593	100
3	3600000	99.998462	13782050	13781838	100
3	3628800	99.998670	13914152	13913967	100
3	3657600	99.997935	13947573	13947285	100
3	3686400	99.998567	14026604	14026403	100
3	3715200	99.998080	14111128	14110857	100
3	3772800	99.998752	14180085	14179908	100
3	3801600	99.998668	14268920	14268730	100
3	3830400	99.997294	14302764	14302377	100
3	3859200	99.998638	14389072	14388876	100
3	3888000	99.998717	14497948	14497762	100
3	3945600	99.998529	14617968	14617753	100
3	3974400	99.998600	14719509	14719303	100
3	4003200	99.997567	14752673	14752314	100
3	4032000	99.998274	14832444	14832188	100
3	4060800	99.998836	14953545	14953371	100
3	4089600	99.997764	14984301	14983966	100
3	4118400	99.998680	15076015	15075816	100
3	4176000	99.998157	15247791	15247510	100
3	4204800	99.998168	15334262	15333981	100
3	4233600	99.998816	15460994	15460811	100
3	4262400	99.997644	15493741	15493376	100
3	4291200	99.998889	15577258	15577085	100
3	4320000	99.998618	15706181	15705964	100
3	4377600	99.998837	15824901	15824717	100
3	4406400	99.998802	15949061	15948870	100
3	4435200	99.997954	15981711	15981384	100
3	4464000	99.998774	16063145	16062948	100
3	4492800	99.994090	16174895	16173939	100
3	4521600	99.993911	16209740	16208753	100
3	4550400	99.995217	16307064	16306284	100
3	4608000	99.995918	16461271	16460599	100
3	4636800	99.997845	16562332	16561975	100
3	4694400	99.998404	16729540	16729273	100
3	4723200	99.998793	16816025	16815822	100
3	4752000	99.998832	16954490	16954292	100
3	4780800	99.997840	16988236	16987869	100
3	4809600	99.998793	17071140	17070934	100
3	4838400	99.998826	17208137	17207935	100
3	4867200	99.998480	17240123	17239861	100
3	4896000	99.998337	17322616	17322328	100
3	4924800	99.998860	17453103	17452904	100
3	4982400	99.998502	17561177	17560914	100
3	5011200	99.998615	17684755	17684510	100
3	5068800	99.998938	17789790	17789601	100
3	5097600	99.998726	17897179	17896951	100
3	5126400	99.997814	17930575	17930183	100
3	5184000	99.998869	18129804	18129599	100
3	5212800	99.998613	18163345	18163093	100
3	5241600	99.998866	18258529	18258322	100
3	5270400	99.998853	18391676	18391465	100
3	5299200	99.998714	18423286	18423049	100
3	5328000	99.998946	18507462	18507267	100
3	5356800	99.998900	18642388	18642183	100
3	5414400	99.998779	18759526	18759297	100
3	5443200	99.998867	18894389	18894175	100
3	5500800	99.999038	19014767	19014584	100
3	5529600	99.998984	19184361	19184166	100
3	5558400	99.998325	19228118	19227796	100
3	5587200	99.998976	19329441	19329243	100
3	5616000	99.998984	19492829	19492631	100
3	5644800	99.998623	19535944	19535675	100
3	5673600	99.999078	19634835	19634654	100
3	5702400	99.999014	19776957	19776762	100
3	5731200	99.998673	19821799	19821536	100
3	5760000	99.998796	19934668	19934428	100
3	5788800	99.998536	20076782	20076488	100
3	5846400	99.998874	20248532	20248304	100
3	5875200	99.999011	20421956	20421754	100
3	5932800	99.999154	20577788	20577614	100
3	5961600	99.999099	20758884	20758697	100
3	6019200	99.999163	20913508	20913333	100
3	6048000	99.998568	21089268	21088966	100
3	6076800	99.998514	21134041	21133727	100
3	6105600	99.999087	21244396	21244202	100
3	6134400	99.999118	21417001	21416812	100
